sample	name	Station	Sequence file	Raw Sequences	WD	Phot	Het	Chl perce	CAST	long	lat	depth	cruise	TEMP	Salinity	O2	O2sd	Leu Incorp	BACT	DOC	DON	TDN	PO43	SiO4	NO2_NO3	NO2	NO3	N_Si	NH4	POC	PON	CHLA	Chao1_phyto	position	day	region_clust	Type	statioNodef	Dens_Thresh_MLD	Mesoscale	name
NAAMES2-18_S26	N2S3.25m	3	N2AllChl18.fasta	368317	247439	53022	194417	21.42831162	at34018	-43.84631667	50.20806667	25	N2	8.63	34.9	6.89	0.01	43.9	18.83	57.46	3.56	10.52	0.38	4.08	6.66	0.32	6.34	1.632352941	0.3	47.5	7.98	4.326	135.1428571	65	1	Subpolar	Subpolar-Spring	3	44.886	anticyclone	N2S3.25m
NAAMES2-19_S44	N2S3.50m	3	N2AllChl19.fasta	217278	150955	24214	126741	16.04054188	at34018	-43.84631667	50.20806667	50	N2	8.56	34.9	6.92	0.19	24.19	16.07	55.77	3.86	11.82	0.44	4.25	7.53	NA	NA	1.771764706	0.43	0.14	-0.2	2.646	108.1578947	66	1	Subpolar	Subpolar-Spring	3	44.886	anticyclone	N2S3.50m
NAAMES2-NA6	N2S3NA-75m	3	NA	NA	NA	NA	NA	NA	at34018	-43.84631667	50.20806667	75	N2	8.4693	34.925	6.53	0.1	11.71	10.68	55.6	3.3	12.9	0.63	4.57	9.27	0.43	8.84	2.028446389	0.38	0.2	0	0.662	NA	NA	1	Subpolar	Subpolar-Spring	3	44.886	anticyclone	N2S3NA-75m
NAAMES2-21_S27	N2S3.100m	3	N2AllChl21.fasta	320479	206806	5297	201509	2.561337679	at34018	-43.84631667	50.20806667	100	N2	8.29	34.96	6.48	0.21	5.69	8.64	54.62	3.78	15.18	0.78	5.23	11.31	0.32	10.99	2.162523901	0.08	8.96	1.3	0.123	74.5	67	1	Subpolar	Subpolar-Spring	3	44.886	anticyclone	N2S3.100m
NAAMES2-22_S46	N2S3.150m	3	N2AllChl22.fasta	143493	90005	597	89408	0.663296484	at34018	-43.84631667	50.20806667	150	N2	8.28	35	6.23	0.02	1.41	4.29	52.02	3.4	15.73	0.82	5.65	12.29	0.02	12.27	2.175221239	0.04	294.25	53.34	NA	NA	68	1	Subpolar	Subpolar-Spring	3	44.886	anticyclone	N2S3.150m
NAAMES2-23_S47	N2S3.200m	3	N2AllChl23.fasta	8198	4368	42	4326	0.961538462	at34018	-43.84631667	50.20806667	200	N2	8.28	35	6.57	0.24	0.68	4.27	52.6	NA	11.11	0.8	5.73	12.45	0.14	12.31	2.172774869	0.44	6.75	0.79	NA	NA	69	1	Subpolar	Subpolar-Spring	3	44.886	anticyclone	N2S3.200m
NAAMES2-24_S28	N2S3.300m	3	N2AllChl24.fasta	119683	69958	351	69607	0.501729609	at34018	-43.84631667	50.20806667	300	N2	7	34.81	6.04	0.03	0.99	3.93	52.53	NA	8.96	0.95	7.29	14.25	0.02	14.23	1.95473251	0.08	NA	NA	NA	NA	70	1	Subpolar	Subpolar-Spring	3	44.886	anticyclone	N2S3.300m
NAAMES2-25_S48	N2S4.5m	4	N2AllChl25.fasta	168123	95327	14707	80620	15.42794801	at34023	-39.16311667	47.66805	5	N2	15.5	36.14	5.83	0.47	7.58	12.5	52.95	4.1	9.49	0.28	1.2	5.25	0.38	4.88	4.375	0.14	8.53	9.49	0.392	56.25	71	1	Subtropical	Subtropical-Spring	4	237.618	anticyclone	N2S4.5m
NAAMES2-26_S49	N2S4.25m	4	N2AllChl26.fasta	177136	103917	19251	84666	18.52536159	at34023	-39.16311667	47.66805	25	N2	15.43	36.14	5.74	0.18	8.11	11.78	52.75	3.45	8.97	0.29	1.12	5.29	0.29	5	4.723214286	0.23	8.53	0.28	0.388	54.11111111	72	1	Subtropical	Subtropical-Spring	4	237.618	anticyclone	N2S4.25m
NAAMES2-27_S29	N2S4.50m	4	N2AllChl27.fasta	367302	227320	63020	164300	27.72303361	at34023	-39.16311667	47.66805	50	N2	15.43	36.14	5.59	0.13	7.72	10.9	53.65	NA	10.15	0.29	1.12	5.26	0.17	5.09	4.696428571	0.33	19.27	1.08	0.395	98	73	1	Subtropical	Subtropical-Spring	4	237.618	anticyclone	N2S4.50m
NAAMES2-28_S30	N2S4.75m	4	N2AllChl28.fasta	131946	75719	16605	59114	21.92976664	at34023	-39.16311667	47.66805	75	N2	15.44	36.14	5.59	0.12	5.84	13.26	53.52	NA	11.3	0.29	1.15	5.34	0.28	5.06	4.643478261	0.25	38.87	3.34	0.406	77	74	1	Subtropical	Subtropical-Spring	4	237.618	anticyclone	N2S4.75m
NAAMES2-29_S50	N2S4.100m	4	N2AllChl29.fasta	252907	148320	19572	128748	13.19579288	at34023	-39.16311667	47.66805	100	N2	15.4	36.14	6.32	0.02	7.13	8.1	53.41	NA	13.88	0.3	1.13	5.32	0.4	4.92	4.707964602	0.03	42.07	10.97	0.389	84.2	75	1	Subtropical	Subtropical-Spring	4	237.618	anticyclone	N2S4.100m
NAAMES2-30_S51	N2S4.150m	4	N2AllChl30.fasta	161495	99010	23209	75801	23.44106656	at34023	-39.16311667	47.66805	150	N2	15.4	36.14	6.24	0.05	7.5	8.22	53.5	NA	13.96	0.29	1.12	5.28	0.32	4.96	4.714285714	0.81	63.75	5.67	NA	NA	76	1	Subtropical	Subtropical-Spring	4	237.618	anticyclone	N2S4.150m
NAAMES2-31_S52	N2S4.200m	4	N2AllChl31.fasta	63793	37992	7051	30941	18.55917035	at34023	-39.16311667	47.66805	200	N2	15.43	36.13	6.07	0.86	4.61	4.98	54.32	NA	12.8	0.3	1.14	5.31	0.28	5.03	4.657894737	0.99	20.84	6.16	NA	NA	77	1	Subtropical	Subtropical-Spring	4	237.618	anticyclone	N2S4.200m
NAAMES2-32_S53	N2S4.300m	4	N2AllChl32.fasta	14921	7438	36	7402	0.484001076	at34023	-39.16311667	47.66805	300	N2	14.27	35.93	5.33	0.01	1.07	3.98	51.19	NA	14.86	0.48	2.33	7.99	0	7.99	3.429184549	0.22	NA	NA	NA	NA	78	2	Subtropical	Subtropical-Spring	4	237.618	anticyclone	N2S4.300m
NAAMES2-33_S31	N2S4a.5m	4a	N2AllChl33.fasta	168846	102978	39307	63671	38.1702888	at34027	-38.84833	47.58033	5	N2	15.45	36.14	5.56	0.12	12.55	11.99	53.82	3.22	8.66	0.3	1.09	5.16	0.35	4.81	4.733944954	0.28	48.71	8.94	0.516	88	79	2	Subtropical	Subtropical-Spring	4a	254.779	anticyclone	N2S4a.5m
NAAMES2-34_S32	N2S4a.25m	4a	N2AllChl34.fasta	223278	135466	41732	93734	30.80625397	at34027	-38.84833	47.58033	25	N2	15.45	36.14	5.57	0.1	11.62	12.37	51.67	3.91	9.27	0.3	1.12	5.19	0.34	4.85	4.633928571	0.17	4.84	0.46	0.518	81.27272727	80	2	Subtropical	Subtropical-Spring	4a	254.779	anticyclone	N2S4a.25m
NAAMES2-35_S33	N2S4a.50m	4a	N2AllChl35.fasta	346604	207232	51694	155538	24.94498919	at34027	-38.84833	47.58033	50	N2	15.45	36.14	5.51	0.01	12.8	11.27	54.43	4.41	9.73	0.3	1.08	5.13	0.07	5.06	4.75	0.18	4.84	0.46	0.525	63.92857143	81	2	Subtropical	Subtropical-Spring	4a	254.779	anticyclone	N2S4a.50m
NAAMES2-36_S54	N2S4a.75m	4a	N2AllChl36.fasta	93377	57617	14335	43282	24.87980978	at34027	-38.84833	47.58033	75	N2	15.45	36.14	5.57	0.13	12.69	13.03	52.87	3.93	9.38	0.3	1.1	5.19	0.35	4.84	4.718181818	0.26	11.76	1.85	0.523	67.2	82	2	Subtropical	Subtropical-Spring	4a	254.779	anticyclone	N2S4a.75m
NAAMES2-37_S34	N2S4a.100m	4a	N2AllChl37.fasta	220252	124560	16387	108173	13.1559088	at34027	-38.84833	47.58033	100	N2	15.45	36.14	5.57	0.21	9.93	10.35	52.41	3.79	9.24	0.3	1.12	5.27	0.29	4.97	4.705357143	0.18	33.28	5.5	0.381	69	83	2	Subtropical	Subtropical-Spring	4a	254.779	anticyclone	N2S4a.100m
NAAMES2-38_S35	N2S4a.150m	4a	N2AllChl38.fasta	255922	149777	23093	126684	15.41825514	at34027	-38.84833	47.58033	150	N2	15.45	36.14	5.62	0.3	9.63	12.01	54.13	3.16	8.78	0.31	1.1	5.3	0.37	4.93	4.818181818	0.32	76.34	13.63	NA	NA	84	2	Subtropical	Subtropical-Spring	4a	254.779	anticyclone	N2S4a.150m
NAAMES2-39_S36	N2S4a.200m	4a	N2AllChl39.fasta	202704	118713	15722	102991	13.24370541	at34027	-38.84833	47.58033	200	N2	15.45	36.14	5.45	0.01	10.07	11.7	52.65	3.21	8.64	0.3	1.11	5.29	0.36	4.93	4.765765766	0.14	29.22	4.65	NA	NA	85	2	Subtropical	Subtropical-Spring	4a	254.779	anticyclone	N2S4a.200m
NAAMES2-40_S55	N2S4a.300m	4a	N2AllChl40.fasta	137824	75015	358	74657	0.477237886	at34027	-38.84833	47.58033	300	N2	14.25	35.94	5.44	0	1.11	3.54	51.04	3.31	11.17	0.45	2.12	7.56	0.05	7.51	3.566037736	0.3	NA	NA	NA	NA	86	3	Subtropical	Subtropical-Spring	4a	254.779	anticyclone	N2S4a.300m
NAAMES2-41_S1	N2S4b.5m	4b	N2AllChl41.fasta	234811	149421	69560	79861	46.55302802	at34032	-38.70683	47.39167	5	N2	15.62	35.14	4.71	1.23	17.9	18.89	53.89	3.28	8.33	0.24	1.09	5.01	0.18	4.83	4.596330275	0.04	56.75	9.16	0.726	85	87	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.5m
NAAMES2-42_S2	N2S4b.25m	4b	N2AllChl42.fasta	374601	236803	108143	128660	45.66791806	at34032	-38.70683	47.39167	25	N2	15.45	35.14	5.59	0.01	17.95	11.17	55.4	3.54	8.52	0.24	1.1	4.97	0.15	4.82	4.518181818	0	NA	NA	0.868	90.71428571	88	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.25m
NAAMES2-43_S3	N2S4b.50m	4b	N2AllChl43.fasta	317822	191498	52508	138990	27.41960752	at34032	-38.70683	47.39167	50	N2	15.45	35.14	5.53	0.01	18.26	17.98	54.12	3.29	8.42	0.24	1.11	5.13	0.34	4.8	4.621621622	0	55.93	9.85	0.737	58.09090909	89	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.50m
NAAMES2-44_S4	N2S4b.75m	4b	N2AllChl44.fasta	252463	152952	42157	110795	27.56224175	at34032	-38.70683	47.39167	75	N2	15.45	35.14	5.88	0.05	15.99	21.2	52.53	3.49	9.09	0.25	1.14	5.31	0.21	5.1	4.657894737	0.29	46.05	8.06	0.654	87	90	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.75m
NAAMES2-45_S5	N2S4b.100m	4b	N2AllChl45.fasta	327008	194027	36841	157186	18.98756359	at34032	-38.70683	47.39167	100	N2	15.45	35.14	5.49	0	13.69	14.33	53.09	3.35	8.73	0.26	1.16	5.31	0.28	5.03	4.577586207	0.07	39.2	7.25	0.517	82.42857143	91	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.100m
NAAMES2-46_S6	N2S4b.150m	4b	N2AllChl46.fasta	282682	157144	15778	141366	10.04047243	at34032	-38.70683	47.39167	150	N2	15.49	35.14	5.44	0.01	11.47	16.1	53.07	3.31	8.85	0.26	1.22	5.54	0.35	5.19	4.540983607	0	22.04	3.62	NA	NA	92	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.150m
NAAMES2-47_S7	N2S4b.200m	4b	N2AllChl47.fasta	455298	257389	27722	229667	10.77046805	at34032	-38.70683	47.39167	200	N2	15.46	35.14	5.65	0.14	10	14.7	53.09	2.47	8.2	0.27	1.2	5.53	0.27	5.26	4.608333333	0.19	36.84	7.42	NA	NA	93	3	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.200m
NAAMES2-48_S56	N2S4b.300m	4b	N2AllChl48.fasta	55934	27839	80	27759	0.287366644	at34032	-38.70683	47.39167	300	N2	14.25	35.93	5.59	0.09	2.63	1.58	52.14	2.33	10.63	0.45	2.4	8.25	0	8.25	3.4375	0.04	NA	NA	NA	NA	94	4	Subtropical	Subtropical-Spring	4b	164.936	anticyclone	N2S4b.300m
NAAMES2-49_S8	N2S4c.5m	4c	N2AllChl49.fasta	348234	230384	135607	94777	58.86129245	at34037	-38.2845	47.333	5	N2	15.66	36.1	5.83	0.23	43.85	8.04	54.45	3.86	7.97	0.17	0.99	4.11	0.17	3.94	4.151515152	0	110.2	21.4	1.276	92.07692308	95	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.5m
NAAMES2-50_S9	N2S4c.25m	4c	N2AllChl50.fasta	368157	228860	97674	131186	42.6784934	at34037	-38.2845	47.333	25	N2	15.5	36.13	5.66	0.02	42.48	8.77	54.01	3.67	8.24	0.19	1	4.45	0.07	4.37	4.45	0.12	NA	NA	1.216	94.25	96	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.25m
NAAMES2-51_S10	N2S4c.50m	4c	N2AllChl51.fasta	424245	250021	46870	203151	18.7464253	at34037	-38.2845	47.333	50	N2	15.43	36.13	5.56	0.09	16.46	10.4	52.7	3.45	8.79	0.27	1.17	5.27	0.26	5.02	4.504273504	0.06	44.3	6.8	0.601	73	97	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.50m
NAAMES2-52_S11	N2S4c.75m	4c	N2AllChl52.fasta	216341	125683	19208	106475	15.28289427	at34037	-38.2845	47.333	75	N2	15.42	36.13	5.55	0.23	13.64	7.42	53.4	3.92	9.54	0.26	1.24	5.51	0.25	5.26	4.443548387	0.12	33.38	4.31	0.381	50.625	98	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.75m
NAAMES2-53_S12	N2S4c.100m	4c	N2AllChl53.fasta	478976	270136	29051	241085	10.75421269	at34037	-38.2845	47.333	100	N2	15.41	36.13	5.4	0	8.95	5.73	53.37	3.72	9.59	0.26	1.27	5.71	0.19	5.53	4.496062992	0.16	33.38	4.31	0.266	91.66666667	99	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.100m
NAAMES2-54_S13	N2S4c.150m	4c	N2AllChl54.fasta	279357	162204	26862	135342	16.56062736	at34037	-38.2845	47.333	150	N2	15.39	36.12	5.43	0.02	11.42	6.58	53.8	3.13	8.89	0.26	1.26	5.59	0.31	5.28	4.436507937	0.17	17.34	2.55	NA	NA	100	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.150m
NAAMES2-55_S14	N2S4c.200m	4c	N2AllChl55.fasta	294460	167238	11454	155784	6.848921896	at34037	-38.2845	47.333	200	N2	15.24	36.09	5.48	0.04	10.74	7.23	53.75	4.1	9.71	0.25	1.17	5.61	0.35	5.26	4.794871795	0	35.08	1.08	NA	NA	101	4	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.200m
NAAMES2-56_S15	N2S4c.300m	4c	N2AllChl56.fasta	344641	181178	490	180688	0.270452262	at34037	-38.2845	47.333	300	N2	14.2	35.92	5.6	0.23	1	3	51.7	3.6	11.9	0.43	2.42	8.27	0	8.27	3.417355372	0.09	NA	NA	NA	NA	102	1	Subtropical	Subtropical-Spring	4c	24.203	anticyclone	N2S4c.300m
NAAMES2-57_S16	N2S5.5m	5	N2AllChl57.fasta	326587	213614	41817	171797	19.57596412	at34042	-43.68376667	44.07633333	5	N2	16	35.7	5.77	0.01	71.67	17.53	59.28	3.68	4.05	0.06	0	0.38	0	0.38	NA	0	179	30.98	0.977	122.25	103	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.5m
NAAMES2-58_S17	N2S5.25m	5	N2AllChl58.fasta	189146	121984	22383	99601	18.34912775	at34042	-43.68376667	44.07633333	25	N2	16	35.7	5.75	0.01	92.57	18.21	61.02	4.39	4.73	0.06	0	0.34	0.16	0.18	NA	0	NA	NA	0.982	105.4	104	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.25m
NAAMES2-59_S18	N2S5.50m	5	N2AllChl59.fasta	140884	85665	3441	82224	4.016809666	at34042	-43.68376667	44.07633333	50	N2	16.03	35.8	5.54	0.3	16.87	8.52	55.27	3.43	6.78	0.22	0.64	3.46	0.29	3.17	5.40625	0	53.14	10.72	0.245	40	105	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.50m
NAAMES2-60_S57	N2S5.75m	5	N2AllChl60.fasta	216987	14457	163	14294	1.127481497	at34042	-43.68376667	44.07633333	75	N2	15.52	35.87	5.11	0.25	8.59	5.91	52.5	4.43	10.88	0.37	1.64	6.44	0.2	6.24	3.926829268	0.02	26.24	6.38	0.116	NA	106	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.75m
NAAMES2-61_S19	N2S5.100m	5	N2AllChl61.fasta	331522	178302	2318	175984	1.300041503	at34042	-43.68376667	44.07633333	100	N2	14.97	35.85	4.72	0	5.38	2.79	51.86	3.2	11.84	0.49	2.49	8.64	0.15	8.49	3.469879518	0	4.39	10.54	0.024	48.33333333	107	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.100m
NAAMES2-NA7	N2S5NA-150m	5	NA	NA	NA	NA	NA	NA	at34042	-43.68376667	44.07633333	150	N2	13.9202	35.7465	4.44	0	2.13	2.27	49.7	3.1	14.4	0.66	3.89	11.3	-0.08	11.3	2.904884319	0	4.39	10.54	NA	NA	NA	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5NA-150m
NAAMES2-63_S20	N2S5.200m	5	N2AllChl63.fasta	182729	103144	885	102259	0.858023734	at34042	-43.68376667	44.07633333	200	N2	11.8	35.23	4.69	0.12	3.21	2.76	49.24	2.17	15.44	0.83	5.3	13.27	0.01	13.26	2.503773585	0	4.39	9.3	NA	NA	108	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.200m
NAAMES2-64_S59	N2S5.300m	5	N2AllChl64.fasta	180790	103555	458	103097	0.442277051	at34042	-43.68376667	44.07633333	300	N2	9.5	35.06	4.23	0.01	2.36	2.11	47.74	2.56	20.01	1.12	8.58	17.45	0.15	17.29	2.033799534	0	26.26	NA	NA	NA	109	1	Subtropical	Subtropical-Spring	5	37.803	cyclone	N2S5.300m
