	Mock	Taxa
N1N2_SNV6719	Organism	Other plastid
N1N2_SNV6773	Organism	Diatoms
N1N2_SNV6815	Organism	Other plastid
N1N2_SNV6870	Organism	Prymnesiophyceae
N1N2_SNV6926	Organism	Other plastid
N1N2_SNV6958	Organism	Other Cyanobacteria
N1N2_SNV6976	Organism	Prymnesiophyceae
N1N2_SNV7015	Organism	Diatoms
N1N2_SNV7030	Organism	Diatoms
N1N2_SNV7038	Organism	Not assigned
N1N2_SNV7044	Organism	Prymnesiophyceae
N1N2_SNV7063	Organism	Diatoms
N1N2_SNV7069	Organism	Diatoms
N1N2_SNV7094	Organism	Diatoms
N1N2_SNV7111	Organism	Prymnesiophyceae
N1N2_SNV7140	Organism	Rappemonad
N1N2_SNV7159	Organism	Prymnesiophyceae
N1N2_SNV7177	Organism	Diatoms
N1N2_SNV7238	Organism	Diatoms
N1N2_SNV7239	Organism	Diatoms
N1N2_SNV7256	Organism	Other plastid
N1N2_SNV7335	Organism	Other plastid
N1N2_SNV7346	Organism	Diatoms
N1N2_SNV7369	Organism	Chrysophyceae
N1N2_SNV7370	Organism	Diatoms
N1N2_SNV7375	Organism	Other plastid
N1N2_SNV7377	Organism	Other plastid
N1N2_SNV7389	Organism	Diatoms
N1N2_SNV7421	Organism	Other plastid
N1N2_SNV7447	Organism	Diatoms
N1N2_SNV7448	Organism	Other plastid
N1N2_SNV7479	Organism	Diatoms
N1N2_SNV7578	Organism	Diatoms
N1N2_SNV7607	Organism	Bathycoccus
N1N2_SNV7621	Organism	Prymnesiophyceae
N1N2_SNV7645	Organism	Micromonas
N1N2_SNV7657	Organism	Other plastid
N1N2_SNV7663	Organism	Prymnesiophyceae
N1N2_SNV7667	Organism	Prymnesiophyceae
N1N2_SNV7702	Organism	Diatoms
N1N2_SNV7703	Organism	Diatoms
N1N2_SNV7827	Organism	Diatoms
N1N2_SNV7836	Organism	Diatoms
N1N2_SNV7838	Organism	Other plastid
N1N2_SNV7839	Organism	Prymnesiophyceae
N1N2_SNV7841	Organism	Pelagophyceae
N1N2_SNV7865	Organism	Not assigned
N1N2_SNV7877	Organism	Diatoms
N1N2_SNV7922	Organism	Prymnesiophyceae
N1N2_SNV7923	Organism	Prymnesiophyceae
N1N2_SNV7929	Organism	Dictyochophyceae
N1N2_SNV7951	Organism	Cryptophyceae
N1N2_SNV7996	Organism	Other plastid
N1N2_SNV7998	Organism	Other plastid
N1N2_SNV8004	Organism	Other plastid
N1N2_SNV8024	Organism	Diatoms
N1N2_SNV8109	Organism	Cryptophyceae
N1N2_SNV8112	Organism	Diatoms
N1N2_SNV8113	Organism	Prymnesiophyceae
N1N2_SNV8118	Organism	Prymnesiophyceae
N1N2_SNV8151	Organism	Other plastid
N1N2_SNV8196	Organism	Diatoms
N1N2_SNV8201	Organism	Dictyochophyceae
N1N2_SNV8223	Organism	Diatoms
N1N2_SNV8271	Organism	Prymnesiophyceae
N1N2_SNV8273	Organism	Other plastid
N1N2_SNV8289	Organism	Chrysophyceae
N1N2_SNV8326	Organism	Diatoms
N1N2_SNV8332	Organism	Diatoms
N1N2_SNV8334	Organism	Other plastid
N1N2_SNV8468	Organism	Prymnesiophyceae
N1N2_SNV8502	Organism	Diatoms
N1N2_SNV8507	Organism	Diatoms
N1N2_SNV8513	Organism	Other plastid
N1N2_SNV8537	Organism	Diatoms
N1N2_SNV8542	Organism	Diatoms
N1N2_SNV8582	Organism	Diatoms
N1N2_SNV8599	Organism	Dictyochophyceae
N1N2_SNV8647	Organism	Dictyochophyceae
N1N2_SNV8691	Organism	Dictyochophyceae
N1N2_SNV8766	Organism	Prymnesiophyceae
