	Domain	Phylum 	Class	Order	Family	Genus	Species
N1N2_SNV2420	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV2454	Eukaryota	Haptophyta					
N1N2_SNV2459	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV2473	Eukaryota	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Emiliania	
N1N2_SNV2475	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC
N1N2_SNV2478	Eukaryota	Haptophyta					
N1N2_SNV2485	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2531	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2564	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelA	
N1N2_SNV2566	Eukaryota	Haptophyta					
N1N2_SNV2586	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV2614	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2636	Eukaryota	Cryptophyta	Cryptophyceae				
N1N2_SNV2646	Bacteria	Cyanobacteria	MarSynB	Synechococcales	Prochloraceae	Prochlorococcus	ProHLII
N1N2_SNV2657	Eukaryota	Alveolata	Dinophyceae				
N1N2_SNV2673	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2682	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasABC_C
N1N2_SNV2716	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV2721	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2733	Eukaryota	Haptophyta					
N1N2_SNV2734	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2744	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2756	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2758	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2778	Eukaryota	Haptophyta					
N1N2_SNV2791	Eukaryota	Stramenopiles	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Proboscia	
N1N2_SNV2855	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2861	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV2873	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2876	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Ostreococcus	OstreococcusII
N1N2_SNV2881	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV2910	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2914	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV2916	Eukaryota	Stramenopiles	Bacillariophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	
N1N2_SNV2920	Eukaryota	Haptophyta					
N1N2_SNV2928	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV2943	Eukaryota	Stramenopiles	Pelagophyceae	Pelagophyceae	Pelagomonadales	pelB	
N1N2_SNV2949	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV2959	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV2967	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2
N1N2_SNV2981	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Bathycoccaceae	Bathycoccus	
N1N2_SNV2986	Eukaryota	Haptophyta					
N1N2_SNV2987	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3015	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3019	Eukaryota	Chlorophyta	PrasinophyceaeII	Mamiellales	Mamiellaceae	Micromonas	MicromonasE2
N1N2_SNV3031	Eukaryota	Haptophyta					
N1N2_SNV3060	Eukaryota	Stramenopiles	Bolidophyceae				
N1N2_SNV3077	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3079	Eukaryota	Haptophyta					
N1N2_SNV3081	Eukaryota	Stramenopiles	Dictyochophyceae				
N1N2_SNV3101	Eukaryota	Haptophyta					
N1N2_SNV3159	Eukaryota	Chlorophyta	PrasinophyceaeI				
N1N2_SNV3162	Eukaryota	Haptophyta					
N1N2_SNV3167	Eukaryota	Stramenopiles	Bacillariophyceae				
N1N2_SNV3174	Eukaryota	Stramenopiles	Chrysophyceae				
